Model,"Best Parameters (using PI, n_calls: 150)",Time Elapsed
Random Forest Regression,"{'max_features': 10, 'n_estimators': 904}",527.99s
KNeighbors Regression,"{'n_neighbors': 3, 'algorithm': 'auto'}",151.8s
Extra Trees Regression,{'n_estimators': 434},563.87s
