Model,"Best Parameters (using EI, n_calls: 150)",Time Elapsed
Random Forest Regression,"{'max_features': 20, 'n_estimators': 540}",408.59s
KNeighbors Regression,"{'n_neighbors': 2, 'algorithm': 'auto'}",129.41s
Extra Trees Regression,{'n_estimators': 119},339.24s
