0,1,2,3,4
Random Forest Regression,"RandomForestRegressor(max_features='auto', n_estimators=250, n_jobs=-1)","{'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",Best Score: 0.5938437515502933,Time Elapsed: 549.5243966579437
Extra Trees Regression,"ExtraTreesRegressor(n_estimators=589, n_jobs=-1)",{'n_estimators': 589},Best Score: 0.5919313347085267,Time Elapsed: 5.062953948974609
