Model,"Best Parameters (using gp_hedge, n_calls: 150)",Time Elapsed
Random Forest Regression,"{'max_features': 20, 'n_estimators': 143}",653.5s
KNeighbors Regression,"{'n_neighbors': 1, 'algorithm': 'kd_tree'}",242.72s
Extra Trees Regression,{'n_estimators': 291},636.33s
